ReportTitle,Textbox2
REPORTE TRAMITE - SOLICITUD DE CALIDAD MIGRATORIA,Fecha Consulta: 05/12/2024 10:54

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
130,LIMA,2018,2,LM180042915,CONFORMIDAD DIREC.INMGRACION. - I,06/02/2018 12:15,21/06/2018 17:19,,,,DENEGADO
131,LIMA,2018,2,LM180040778,CONFORMIDAD DIREC.INMGRACION. - I,05/02/2018 10:07,09/02/2018 19:49,,,,DENEGADO
132,LIMA,2018,2,LM180038349,CONFORMIDAD DIREC.INMGRACION. - I,01/02/2018 16:25,13/03/2018 8:37,,,,DENEGADO
133,LIMA,2018,2,LM180037050,CONFORMIDAD DIREC.INMGRACION. - I,01/02/2018 9:32,17/04/2018 12:08,,,,DENEGADO
134,LIMA,2018,1,LM180034593,CONFORMIDAD DIREC.INMGRACION. - I,30/01/2018 12:59,27/02/2018 20:16,,,,DENEGADO
135,LIMA,2018,1,LM180028457,CONFORMIDAD DIREC.INMGRACION. - I,25/01/2018 9:25,12/03/2018 8:42,,,,DENEGADO
136,LIMA,2018,1,LM180028435,CONFORMIDAD DIREC.INMGRACION. - I,25/01/2018 9:18,02/03/2018 16:53,,,,DENEGADO
137,LIMA,2018,1,LM180021781,CONFORMIDAD DIREC.INMGRACION. - I,19/01/2018 12:09,05/02/2018 15:44,,,,DENEGADO
138,LIMA,2018,1,LM180021225,CONFORMIDAD DIREC.INMGRACION. - I,19/01/2018 9:40,06/03/2018 17:49,,,,DENEGADO
139,LIMA,2018,1,LM180021182,CONFORMIDAD DIREC.INMGRACION. - I,19/01/2018 9:26,06/03/2018 17:50,,,,DENEGADO
140,LIMA,2018,1,LM180018573,CONFORMIDAD DIREC.INMGRACION. - I,17/01/2018 13:15,05/02/2018 21:48,,,,DENEGADO
141,PIURA,2018,11,PU180021088,CONFORMIDAD DIREC.INMGRACION. - I,19/11/2018 8:34,16/01/2019 18:25,,,,DENEGADO
142,TARAPOTO,2018,9,TS180005574,CONFORMIDAD DIREC.INMGRACION. - I,27/09/2018 10:51,07/11/2018 17:48,,,,DENEGADO
143,TARAPOTO,2018,9,TS180005443,CONFORMIDAD DIREC.INMGRACION. - I,21/09/2018 9:50,07/11/2018 17:47,,,,DENEGADO
144,TARAPOTO,2018,9,TS180005422,CONFORMIDAD DIREC.INMGRACION. - I,20/09/2018 11:30,06/11/2018 20:31,,,,DENEGADO
145,TARAPOTO,2018,9,TS180005420,CONFORMIDAD DIREC.INMGRACION. - I,20/09/2018 11:12,06/11/2018 20:25,,,,DENEGADO
146,TARAPOTO,2018,9,TS180005415,CONFORMIDAD DIREC.INMGRACION. - I,19/09/2018 16:32,06/11/2018 21:13,,,,DENEGADO
147,TARAPOTO,2018,9,TS180005396,CONFORMIDAD DIREC.INMGRACION. - I,19/09/2018 12:43,14/11/2018 9:22,,,,DENEGADO
148,TARAPOTO,2018,8,TS180004495,CONFORMIDAD DIREC.INMGRACION. - I,09/08/2018 15:55,26/09/2018 10:01,,,,DENEGADO
149,TARAPOTO,2018,3,TS180001864,"PAGOS, FECHA Y NRO RD. - F",22/03/2018 11:39,11/04/2018 15:41,,,,DENEGADO

