ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA,Fecha Consulta: 04/12/2024 17:27

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
141,MIRAFLORES,2019,7,MR190137943,EVALUACIÓN - F,18/07/2019 16:36,12/09/2019 7:23,,,,DESISTIDO
142,MIRAFLORES,2019,7,MR190137942,EVALUACIÓN - F,18/07/2019 16:36,12/09/2019 7:30,,,,DESISTIDO
143,MIRAFLORES,2019,7,MR190137458,EVALUACIÓN - F,18/07/2019 9:03,20/11/2020 15:07,,,,DESISTIDO
144,MIRAFLORES,2019,7,MR190135445,EVALUACIÓN - F,15/07/2019 20:16,18/02/2020 14:31,,,,DESISTIDO
145,MIRAFLORES,2019,7,MR190133938,EVALUACIÓN - F,13/07/2019 14:59,20/10/2021 16:09,,,,DESISTIDO
146,MIRAFLORES,2019,7,MR190132011,EVALUACIÓN - F,11/07/2019 11:14,12/09/2019 16:22,,,,DESISTIDO
147,MIRAFLORES,2019,7,MR190131535,EVALUACIÓN - F,10/07/2019 17:12,23/08/2019 15:48,,,,DESISTIDO
148,MIRAFLORES,2019,7,MR190128174,EVALUACIÓN - F,06/07/2019 8:51,03/10/2019 10:42,,,,DESISTIDO
149,MIRAFLORES,2019,7,MR190125180,EVALUACIÓN - F,02/07/2019 19:27,13/09/2019 17:38,,,,DESISTIDO
150,MIRAFLORES,2019,7,MR190125157,EVALUACIÓN - F,02/07/2019 19:04,13/09/2019 17:38,,,,DESISTIDO
151,MIRAFLORES,2019,6,MR190122539,EVALUACIÓN - F,27/06/2019 19:34,07/11/2019 19:05,,,,DESISTIDO
152,MIRAFLORES,2019,6,MR190120662,EVALUACIÓN - F,26/06/2019 9:25,13/09/2019 16:06,,,,DESISTIDO
153,MIRAFLORES,2019,6,MR190120240,EVALUACIÓN - F,25/06/2019 16:01,11/01/2020 10:30,,,,DESISTIDO
154,MIRAFLORES,2019,6,MR190115856,EVALUACIÓN - F,19/06/2019 17:37,26/11/2019 14:57,,,,DESISTIDO
155,MIRAFLORES,2019,6,MR190115350,EVALUACIÓN - F,19/06/2019 11:26,28/08/2019 7:54,,,,DESISTIDO
156,MIRAFLORES,2019,6,MR190115310,EVALUACIÓN - F,19/06/2019 11:02,28/08/2019 8:48,,,,DESISTIDO
157,MIRAFLORES,2019,6,MR190115304,EVALUACIÓN - F,19/06/2019 10:59,28/08/2019 7:56,,,,DESISTIDO
158,MIRAFLORES,2019,6,MR190115185,EVALUACIÓN - F,19/06/2019 9:43,12/09/2019 8:55,,,,DESISTIDO
159,MIRAFLORES,2019,6,MR190111708,EVALUACIÓN - F,14/06/2019 10:27,14/11/2019 14:12,,,,DESISTIDO
